threshold_dir,run_dir,tau_smact,tau_smocc,tau_drama,num_trials,planned_workload_count_sum,admitted_workload_count_sum,admission_fraction,completion_fraction,mean_throughput_gain,median_throughput_gain,mean_slowdown,median_max_slowdown,max_slowdown,p95_max_slowdown,p95_slowdown_mean,failed_started_rows,reject_retry_count,score,manifest,solo_runtime_csv
smact_0p00_smocc_0p00_drama_0p00,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p00_smocc_0p00_drama_0p00,0.0,0.0,0.0,5,22,22,1.0,1.0,1.031910536693855,1.0375813348793854,0.9745992244555758,1.004672147689181,1.031515352652408,1.027076197839102,1.0062636642573302,0,2778,1.0003831101887442,,
smact_0p10_smocc_0p05_drama_0p05,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p05,0.1,0.05,0.05,5,22,22,1.0,1.0,1.2928309705788692,1.1379334070333904,0.9882618357595365,1.0028755796145246,1.0776027388685958,1.0648698919906439,1.01905932221065,0,2072,1.1997287348547827,,
smact_0p10_smocc_0p05_drama_0p10,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p10,0.1,0.05,0.1,5,22,22,1.0,1.0,1.31341247824794,1.4677452486536129,0.9673913252696439,0.994719506295792,1.0010071151258508,1.0008378296053981,0.995823031524624,0,1901,1.3120910515034772,,
smact_0p10_smocc_0p05_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p20,0.1,0.05,0.2,5,22,22,1.0,1.0,1.2845300152696209,1.447822558641034,0.9602088502637972,0.999320932276741,1.0049131970599492,1.0044809421291712,0.9997753987150064,0,1917,1.2782497224911962,,
smact_0p10_smocc_0p05_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p30,0.1,0.05,0.3,5,22,22,1.0,1.0,1.2700189800341628,1.3754023343868318,0.9620666088761585,1.001179805808189,1.0050819622245688,1.004678015120552,1.0004132831246224,0,1858,1.2635974256499474,,
smact_0p10_smocc_0p05_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p40,0.1,0.05,0.4,5,22,22,1.0,1.0,1.4438195372690523,1.4007158145202645,1.0706058039025248,1.0028163617178052,2.086466178080957,1.8840417581762208,1.2327579516720468,0,1422,0.6919927830304042,,
smact_0p10_smocc_0p05_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p50,0.1,0.05,0.5,5,22,22,1.0,1.0,1.6690856387051842,1.6688759633718933,1.2043779852628116,1.0562602991744687,2.4258760758798683,2.155707435504186,1.313774020493299,0,975,0.6880341726029038,,
smact_0p10_smocc_0p05_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p60,0.1,0.05,0.6,5,22,22,1.0,1.0,1.6760950687757776,1.6628845083498884,1.180570522290226,1.058629862295708,2.405471407979524,2.139258601184672,1.307089689907085,0,921,0.6967844486597385,,
smact_0p10_smocc_0p10_drama_0p05,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p05,0.1,0.1,0.05,5,22,22,1.0,1.0,1.6913685092919628,1.634617012700544,1.1883982116045932,1.0779077104628008,2.3288249716535137,2.206620991684253,1.4355023765489858,0,882,0.7262754951013156,,
smact_0p10_smocc_0p10_drama_0p10,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p10,0.1,0.1,0.1,5,22,22,1.0,1.0,1.6719733140222999,1.6695127448403777,1.1956579136223708,1.0616872724786053,2.4186725127285524,2.1539987651044687,1.3151294200261732,0,866,0.6912772627229776,,
