row_index,run_id,task_path,finish_status,return_code,total_runtime_seconds,ttfk_wait_seconds,base_metric,mean_w120s,mean_w200s,mean_abs_error,mean_relative_error,median_w120s,median_w200s,median_abs_error,median_relative_error,p95_w120s,p95_w200s,p95_abs_error,p95_relative_error,ewma_w120s,ewma_w200s,ewma_abs_error,ewma_relative_error,risk_w120s,risk_w200s,risk_abs_error,risk_relative_error
2,solo_0003_dlrm_criteo_bs32768_1gpu_12f420cd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/dlrm_criteo_bs32768_1gpu.yaml,completed,0,1523.408148114002,6.114486352991662,smact,0.1364749999999999,0.1209399999999999,0.015535000000000007,0.12845212502067158,0.0505,0.0,0.0505,,0.5337,0.5206499999999998,0.013050000000000117,0.02506482281763204,0.1163858027592471,0.0972402173508928,0.0191455854083543,0.19688957850913852,0.2092652006898117,0.1847075543377231,0.024557646352088597,0.1329542066654561
13,solo_0014_inception_imagenet_bs128_1gpu_8fa1e322,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,completed,0,3040.002379544981,9.267761677998353,smact,0.4383166666666666,0.4386130653266331,0.0002963986599665014,0.0006757634083375394,0.6425000000000001,0.643,0.0004999999999999449,0.000777604976671765,0.68705,0.686,0.0010499999999999954,0.0015306122448979524,0.3822530028013127,0.4620020133870701,0.0797490105857574,0.17261615377191625,0.537529917366995,0.5574037696784259,0.019873852311430906,0.0356543198889674
15,solo_0016_inception_imagenet_bs64_1gpu_db9abfc5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs64_1gpu.yaml,completed,0,3072.5587011459866,8.898236471985001,smact,0.409702479338843,0.418755,0.00905252066115697,0.021617701666026605,0.632,0.635,0.0030000000000000027,0.004724409448818902,0.661,0.66405,0.003049999999999997,0.0045930276334613315,0.3464218324378967,0.3962350307426912,0.04981319830479447,0.1257162906859247,0.512281077944185,0.5285100076856728,0.01622892974148782,0.030706948790910783
11,solo_0012_efficientnet_imagenet_bs64_1gpu_98934577,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,completed,0,1698.974163564999,8.356203388990252,smact,0.5913499999999999,0.6016633165829145,0.010313316582914567,0.017141341841294226,0.6034999999999999,0.603,0.0004999999999999449,0.0008291873963514842,0.648,0.648,0.0,0.0,0.5184626663487502,0.5682035278003783,0.04974086145162815,0.08754057132342048,0.5903281665871876,0.6052167110958233,0.014888544508635748,0.02460035262687659
10,solo_0011_efficientnet_imagenet_bs32_1gpu_d1224a6f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,completed,0,2194.621616340999,8.310408464007196,smact,0.4609833333333333,0.4674773869346734,0.0064940536013400885,0.013891695690186584,0.47,0.471,0.0010000000000000009,0.0021231422505307877,0.48705,0.488,0.0009500000000000064,0.001946721311475423,0.403621510566035,0.4462547705475337,0.042633259981498695,0.095535695739879,0.455413710974842,0.4681830393705518,0.012769328395709767,0.027274222519631377
4,solo_0005_efficientnet_cifar100_bs128_50e_1gpu_a53edb55,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_50e_1gpu.yaml,completed,0,743.0549465229997,8.166140499000903,smact,0.2158083333333333,0.2175979899497487,0.0017896566164153915,0.008224600865240937,0.236,0.235,0.0010000000000000009,0.004255319148936175,0.251,0.26,0.009000000000000008,0.034615384615384645,0.1864770725082763,0.2202282350792573,0.033751162570980986,0.153255383256531,0.2223213514604024,0.2332065562572515,0.010885204796849096,0.046676238316565866
9,solo_0010_efficientnet_imagenet_bs128_1gpu_c495ca3c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,completed,0,1682.8490802990127,8.214838965999661,smact,0.5771166666666667,0.6002462311557789,0.023129564489112187,0.038533460584293924,0.6335,0.634,0.000500000000000056,0.0007886435331231166,0.667,0.667,0.0,0.0,0.516938407027138,0.5323637275758182,0.015425320548680177,0.02897515317003511,0.5986387684234512,0.6084024896828992,0.009763721259448022,0.016048128377214393
11,solo_0012_efficientnet_imagenet_bs64_1gpu_98934577,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,completed,0,1698.974163564999,8.356203388990252,smocc,0.3566583333333332,0.3629346733668342,0.006276340033501027,0.01729330508787528,0.3645,0.365,0.0005000000000000004,0.0013698630136986314,0.392,0.392,0.0,0.0,0.3126646495078655,0.3425465165181143,0.029881867010248808,0.08723447931682182,0.3564557457102997,0.3656202974712371,0.00916455176093739,0.025065763099922957
13,solo_0014_inception_imagenet_bs128_1gpu_8fa1e322,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,completed,0,3040.002379544981,9.267761677998353,smocc,0.20265,0.2027939698492462,0.00014396984924619494,0.0007099316086825452,0.2975,0.298,0.0005000000000000004,0.00167785234899329,0.32005,0.3181,0.0019500000000000073,0.006130147752279181,0.1767425770044519,0.2122189258371193,0.0354763488326674,0.16716863820098657,0.249235644251113,0.2577782239215914,0.00854257967047839,0.03313926033207829
34,solo_0035_resnet34_cifar100_bs128_50e_1gpu_071a6fd5,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_50e_1gpu.yaml,completed,0,484.9520733219979,8.084790070017334,smact,0.1407199999999999,0.137855421686747,0.0028645783132529024,0.02077958398881235,0.1885,0.1865,0.0020000000000000018,0.010723860589812341,0.27165,0.2495,0.022150000000000003,0.08877755511022045,0.1756108937963715,0.1706028037015723,0.005008090094799189,0.02935526255218884,0.1941202234490928,0.1861145563470798,0.008005667102013003,0.04301472845081209
