metric,summary_window_seconds,reference_window_seconds,n,mean_abs_error,median_abs_error,p95_abs_error,mean_abs_relative_error,base_metric,risk_component
smact_mean,5.0,200.0,50,0.0777611248077978,0.0344873559589581,0.2951236670958095,0.2260608228416367,smact,mean
smact_mean,10.0,200.0,50,0.0379739144833855,0.0190364858933219,0.1472989195979899,0.103431754690442,smact,mean
smact_mean,20.0,200.0,50,0.0196980766883273,0.0092943244990304,0.0768464195979898,0.0577845648367064,smact,mean
smact_mean,30.0,200.0,50,0.0123318011630349,0.0050670433808968,0.0484019263085399,0.0381039193068631,smact,mean
smact_mean,40.0,200.0,50,0.0116774456900312,0.0075340853658536,0.0349985929752065,0.0378663353775887,smact,mean
smact_mean,60.0,200.0,50,0.0073739698813572,0.0042848472449535,0.0254184074539362,0.0268313328896978,smact,mean
smact_mean,120.0,200.0,50,0.0038653436107325,0.0026781738409972,0.0120659924623115,0.0171381409659868,smact,mean
smact_mean,200.0,200.0,50,0.0,0.0,0.0,0.0,smact,mean
smact_median,5.0,200.0,50,0.129985,0.0265749999999999,0.4931249999999998,0.241873741130675,smact,median
smact_median,10.0,200.0,50,0.034425,0.0104999999999999,0.1227999999999997,0.0840242117930059,smact,median
smact_median,20.0,200.0,50,0.0109029999999999,0.0054999999999999,0.036,0.0450235738032412,smact,median
smact_median,30.0,200.0,50,0.0077199999999999,0.0035,0.0277499999999999,0.0381935389975097,smact,median
smact_median,40.0,200.0,50,0.0084579999999999,0.0034999999999999,0.0362499999999999,0.0346172480792612,smact,median
smact_median,60.0,200.0,50,0.0074399999999999,0.003,0.033275,0.0307734847550514,smact,median
smact_median,120.0,200.0,50,0.0033279999999999,0.0014999999999999,0.0086499999999999,0.0091823114934831,smact,median
smact_median,200.0,200.0,50,0.0,0.0,0.0,0.0,smact,median
smact_p95,5.0,200.0,50,0.0253684007353429,0.00985,0.087755,0.068009549270113,smact,p95
smact_p95,10.0,200.0,50,0.0113163729169219,0.0045249999999999,0.054195,0.0350790350532463,smact,p95
