metric,summary_window_seconds,reference_window_seconds,n,mean_abs_error,median_abs_error,p95_abs_error,mean_abs_relative_error,base_metric,risk_component
smact_mean,5.0,200.0,3,0.1254686865943938,0.1214529914529914,0.2249756270141515,0.2297706990217848,smact,mean
smact_mean,10.0,200.0,3,0.0557464643721715,0.0484529914529914,0.0976756270141515,0.1020922105539708,smact,mean
smact_mean,20.0,200.0,3,0.0301924731323396,0.026369658119658,0.0583422936808182,0.0552803169388836,smact,mean
smact_mean,30.0,200.0,3,0.0178220037324584,0.0156752136752136,0.0319478492363737,0.0326369304847497,smact,mean
smact_mean,40.0,200.0,3,0.0153386360893432,0.0151864754098359,0.0199324448056656,0.0281192554321135,smact,mean
smact_mean,60.0,200.0,3,0.0162502572406703,0.0151291819291818,0.0236243271428517,0.0297722744986107,smact,mean
smact_mean,120.0,200.0,3,0.0077701694047935,0.0073953242636376,0.011579449336312,0.0142348915981289,smact,mean
smact_mean,200.0,200.0,3,0.0,0.0,0.0,0.0,smact,mean
smact_median,5.0,200.0,3,0.3579999999999999,0.352,0.6526000000000001,0.4426609638943109,smact,median
smact_median,10.0,200.0,3,0.183,0.175,0.32665,0.2263859177315433,smact,median
smact_median,20.0,200.0,3,0.0478333333333333,0.0359999999999999,0.09045,0.0594392859603682,smact,median
smact_median,30.0,200.0,3,0.0145,0.012,0.01965,0.0180238959664863,smact,median
smact_median,40.0,200.0,3,0.0086666666666666,0.005,0.0171499999999999,0.0108751584424568,smact,median
smact_median,60.0,200.0,3,0.0051666666666666,0.005,0.0086,0.0063972081294564,smact,median
smact_median,120.0,200.0,3,0.0006666666666666,0.001,0.001,0.0008329067352553,smact,median
smact_median,200.0,200.0,3,0.0,0.0,0.0,0.0,smact,median
smact_p95,5.0,200.0,3,0.1037166666666665,0.0795999999999999,0.2071749999999996,0.1116927360493806,smact,p95
smact_p95,10.0,200.0,3,0.0317333333333332,0.0128,0.0679699999999996,0.0338741341490063,smact,p95
smact_p95,20.0,200.0,3,0.0336333333333332,0.0252,0.0698849999999996,0.0359660199343012,smact,p95
smact_p95,30.0,200.0,3,0.0184166666666665,0.0059999999999998,0.0408749999999996,0.0195784017412222,smact,p95
smact_p95,40.0,200.0,3,0.0050499999999998,0.0063499999999996,0.0070249999999999,0.0055888135943422,smact,p95
smact_p95,60.0,200.0,3,0.0169833333333333,0.0107,0.0338749999999998,0.0182297382944378,smact,p95
smact_p95,120.0,200.0,3,0.0057166666666667,0.0011500000000003,0.0137949999999999,0.0065422046761959,smact,p95
smact_p95,200.0,200.0,3,0.0,0.0,0.0,0.0,smact,p95
smact_ewma,5.0,200.0,3,0.0485625564791161,0.0438632324851441,0.0568420042629636,0.0945329639147768,smact,ewma
smact_ewma,10.0,200.0,3,0.0403030619845259,0.0354382185425199,0.0555739559376717,0.0810320063463499,smact,ewma
smact_ewma,20.0,200.0,3,0.0173426219258878,0.0238348193258431,0.0255397245363905,0.0331800198017717,smact,ewma
smact_ewma,30.0,200.0,3,0.0203578131355488,0.0187022071303343,0.0241509530025924,0.0395903267960117,smact,ewma
smact_ewma,40.0,200.0,3,0.0230977197012566,0.0253021117462368,0.0292383759259686,0.0447084317045372,smact,ewma
smact_ewma,60.0,200.0,3,0.0141565959025601,0.0154822318698754,0.0180912568841984,0.0277313529426307,smact,ewma
smact_ewma,120.0,200.0,3,0.0099672232157828,0.0133316280176692,0.0134393822985352,0.0192212554442502,smact,ewma
smact_ewma,200.0,200.0,3,0.0,0.0,0.0,0.0,smact,ewma
smact_risk,5.0,200.0,3,0.14992643868752,0.1272974397419617,0.2798876540020429,0.2170346441405793,smact,risk
smact_risk,10.0,200.0,3,0.0586374684833062,0.0382104328400756,0.1130150260791535,0.0846739100100746,smact,risk
smact_risk,20.0,200.0,3,0.0230519707125809,0.0082894722542836,0.0527546543919332,0.033064878095677,smact,risk
smact_risk,30.0,200.0,3,0.0087212758509975,0.0031182516362197,0.0186248129410544,0.0125452989469894,smact,risk
smact_risk,40.0,200.0,3,0.0054929606366674,0.0007864126563174,0.0139241317696384,0.0079014763548669,smact,risk
smact_risk,60.0,200.0,3,0.0104725466191408,0.0062338973036325,0.0205132503921492,0.0151116217433669,smact,risk
smact_risk,120.0,200.0,3,0.0057051814884773,0.0063364267796434,0.0089422069412584,0.0082096019866105,smact,risk
smact_risk,200.0,200.0,3,0.0,0.0,0.0,0.0,smact,risk
smocc_mean,5.0,200.0,3,0.0405420222753749,0.0437521367521366,0.0697998038391481,0.2177687231434694,smocc,mean
smocc_mean,10.0,200.0,3,0.0187642444975971,0.0162521367521366,0.0332998038391481,0.1011794440787724,smocc,mean
smocc_mean,20.0,200.0,3,0.010852628335981,0.0076950925181013,0.0162440994157446,0.0575884516833679,smocc,mean
smocc_mean,30.0,200.0,3,0.0066727412296233,0.0065720978656949,0.0089317999505039,0.0350067879796991,smocc,mean
smocc_mean,40.0,200.0,3,0.0045407484754285,0.005259452936444,0.0057255354575788,0.0236801864823393,smocc,mean
smocc_mean,60.0,200.0,3,0.005573879811501,0.0054378510378509,0.0072170239163682,0.0291920326819499,smocc,mean
smocc_mean,120.0,200.0,3,0.0017838448827854,0.0017380522450944,0.0031490803199507,0.0096099821204719,smocc,mean
smocc_mean,200.0,200.0,3,0.0,0.0,0.0,0.0,smocc,mean
smocc_median,5.0,200.0,3,0.1159999999999999,0.1169999999999999,0.2178,0.4183361457976155,smocc,median
smocc_median,10.0,200.0,3,0.059,0.0605,0.11045,0.2126978640647999,smocc,median
smocc_median,20.0,200.0,3,0.004,0.0035,0.0062,0.0142381524699254,smocc,median
