risk_component,summary_window_seconds,total_n,weighted_mean_abs_error,weighted_median_abs_error,weighted_p95_abs_error,weighted_mean_abs_relative_error
mean,5.0,9,0.07741235448269151,0.07813105413105403,0.13450408901966274,0.254096378051605
mean,10.0,9,0.03672716929750627,0.032797720797720704,0.06357075568632936,0.12419873367724642
mean,20.0,9,0.0190930106014007,0.017306483830820035,0.03372163198963933,0.06335799642517877
mean,30.0,9,0.011704055692837965,0.011422893020758667,0.018433272908633166,0.039386731699197694
mean,40.0,9,0.0092326369534164,0.009461320844771335,0.012469105489644335,0.029648601409727297
mean,60.0,9,0.009002898123677567,0.008486609686609565,0.012672077007650733,0.02785859798872733
mean,120.0,9,0.003799431685295933,0.0035721929480787,0.005834427002851901,0.010853581114699066
mean,200.0,9,0.0,0.0,0.0,0.0
median,5.0,9,0.17733333333333323,0.1673333333333333,0.33113333333333334,0.3770139740751721
median,10.0,9,0.0842222222222222,0.08233333333333331,0.15163333333333331,0.1628282533572273
median,20.0,9,0.0193333333333333,0.014333333333333266,0.03623333333333333,0.034132188879295366
median,30.0,9,0.006555555555555533,0.0051666666666666675,0.009666666666666665,0.0136133041191138
median,40.0,9,0.004499999999999967,0.0031666666666666666,0.008266666666666634,0.010559532789063499
median,60.0,9,0.0036111111111110667,0.003666666666666667,0.0057666666666666665,0.0097830507350841
median,120.0,9,0.0009999999999999666,0.001,0.0019,0.0033012197211221665
median,200.0,9,0.0,0.0,0.0,0.0
p95,5.0,9,0.05274444444444437,0.04336666666666657,0.09624166666666657,0.10275367101620743
p95,10.0,9,0.019605555555555466,0.0092333333333333,0.04163333333333314,0.044770835848388695
p95,20.0,9,0.013361111111111034,0.010066666666666666,0.0277366666666665,0.020922538538042167
p95,30.0,9,0.009399999999999901,0.0034833333333331995,0.020328333333333164,0.018617293796826466
p95,40.0,9,0.005266666666666566,0.0049666666666665,0.0084166666666666,0.015232687354680967
p95,60.0,9,0.007916666666666634,0.0058333333333333666,0.014563333333333234,0.014619552251535665
p95,120.0,9,0.002744444444444433,0.0012833333333333666,0.005978333333333267,0.005470342450235233
p95,200.0,9,0.0,0.0,0.0,0.0
ewma,5.0,9,0.030021114577736027,0.0269372488129314,0.042653353809887405,0.10659438608596003
ewma,10.0,9,0.022718331429458664,0.0182825709415175,0.035361164671130436,0.07796143462760187
ewma,20.0,9,0.010738572104080133,0.012864974078830934,0.0159766793762229,0.037311663051555505
ewma,30.0,9,0.011161321296130167,0.0104612572000938,0.014243284577754768,0.03628347552845221
ewma,40.0,9,0.0112307415822248,0.0113978029077322,0.014561604059045136,0.033676613569942164
ewma,60.0,9,0.007502891785665766,0.008281559380077633,0.009503325890663366,0.024261627845482
ewma,120.0,9,0.004698353470126834,0.0052413994689271,0.007256056836007633,0.014107907150065066
ewma,200.0,9,0.0,0.0,0.0,0.0
risk,5.0,9,0.07991971574684612,0.0701148734864923,0.1477651661798113,0.2078045739566116
risk,10.0,9,0.032471482840142764,0.0216248177557452,0.060598974910300564,0.08666093410869727
risk,20.0,9,0.011477346213211332,0.007774649764088466,0.023439855082059435,0.028341456097009197
risk,30.0,9,0.005876319960680033,0.0032581392100766,0.010969543101957533,0.017365610314351434
risk,40.0,9,0.0038374704561855663,0.0021467924793133336,0.0073795383311965,0.011844005656851465
risk,60.0,9,0.005827836366224667,0.004293661984589067,0.009740246925645268,0.0154265653679663
risk,120.0,9,0.0026479755164208005,0.0024632005321659997,0.0045946945897113005,0.0061357722048854335
risk,200.0,9,0.0,0.0,0.0,0.0
